a,b,c
0.0,0.646,0.354
0.058,0.863,0.079
0.0,0.95,0.05
0.0,0.772,0.228
0.184,0.816,0.0
0.113,0.825,0.062
0.186,0.814,0.0
0.0,1.0,0.0
0.184,0.816,0.0
0.162,0.658,0.18
0.12,0.83,0.05
0.0,0.823,0.177
0.0,0.823,0.177
0.0,0.823,0.177
0.319,0.592,0.089
0.194,0.806,0.0
0.186,0.814,0.0
0.045,0.887,0.068
0.045,0.887,0.068
0.0,0.823,0.177
0.107,0.832,0.061
0.106,0.894,0.0
0.153,0.67,0.177
0.106,0.833,0.061
0.0,1.0,0.0
0.161,0.677,0.162
0.045,0.887,0.068
0.13,0.78,0.09
0.0,1.0,0.0
0.0,0.819,0.181
0.378,0.473,0.149
0.157,0.679,0.163
0.0,1.0,0.0
0.13,0.78,0.09
0.045,0.887,0.068
0.344,0.552,0.104
0.095,0.905,0.0
0.13,0.78,0.09
0.0,1.0,0.0
0.0,0.901,0.099
0.0,0.823,0.177
0.045,0.887,0.068
0.0,1.0,0.0
0.153,0.67,0.177
0.289,0.711,0.0
0.332,0.668,0.0
0.423,0.577,0.0
0.0,1.0,0.0
0.423,0.577,0.0
0.153,0.67,0.177
0.0,1.0,0.0
0.094,0.725,0.181
0.0,0.823,0.177
0.186,0.814,0.0
0.0,0.932,0.068
0.392,0.608,0.0
0.162,0.658,0.18
0.106,0.833,0.061
0.036,0.818,0.147
0.052,0.948,0.0
0.0,0.823,0.177
0.0,0.823,0.177
0.0,1.0,0.0
0.0,1.0,0.0
0.167,0.588,0.245
0.036,0.818,0.147
0.0,1.0,0.0
0.162,0.658,0.18
0.106,0.833,0.061
0.048,0.952,0.0
0.186,0.814,0.0
0.0,0.95,0.05
0.036,0.818,0.147
0.036,0.818,0.147
0.151,0.849,0.0
0.0,1.0,0.0
0.045,0.887,0.068
0.188,0.719,0.092
0.186,0.814,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.13,0.78,0.09
0.098,0.902,0.0
0.0,0.639,0.361
0.184,0.816,0.0
0.112,0.888,0.0
0.339,0.476,0.185
0.078,0.818,0.104
0.036,0.818,0.147
0.0,1.0,0.0
0.0,0.823,0.177
0.186,0.814,0.0
0.231,0.769,0.0
0.0,1.0,0.0
0.036,0.818,0.147
0.0,0.887,0.113
0.134,0.774,0.092
0.153,0.67,0.177
0.162,0.658,0.18
0.036,0.818,0.147
0.071,0.776,0.153
0.104,0.896,0.0
0.036,0.818,0.147
0.105,0.809,0.086
0.141,0.751,0.108
0.0,0.857,0.143
0.0,1.0,0.0
0.0,0.823,0.177
0.0,1.0,0.0
0.138,0.862,0.0
0.0,1.0,0.0
0.186,0.814,0.0
0.0,1.0,0.0
0.153,0.67,0.177
0.036,0.818,0.147
0.0,1.0,0.0
0.106,0.833,0.061
0.153,0.67,0.177
0.0,1.0,0.0
0.075,0.925,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.184,0.816,0.0
0.131,0.78,0.089
0.0,0.613,0.387
0.186,0.814,0.0
0.153,0.67,0.177
0.089,0.812,0.1
0.0,0.823,0.177
0.036,0.818,0.147
0.053,0.875,0.072
0.141,0.751,0.108
0.036,0.818,0.147
0.0,0.823,0.177
0.094,0.725,0.181
0.163,0.837,0.0
0.0,0.918,0.082
0.05,0.95,0.0
